what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1747288545613
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1747288545613
java.specification.name,sysinfo,,,"Java Platform API Specification",1747288545613
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1747288545613
java.specification.version,sysinfo,,,"1.6",1747288545613
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1747288545613
java.version,sysinfo,,,"1.6.0_23",1747288545613
java.vm.info,sysinfo,,,"mixed mode",1747288545613
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1747288545613
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1747288545613
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1747288545613
java.vm.specification.version,sysinfo,,,"1.0",1747288545613
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1747288545613
java.vm.version,sysinfo,,,"19.0-b09",1747288545613
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1747288545620
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1747288545639
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1747288545656
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1747288555492
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1747288558172
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1747288561116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747288561460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747288564151
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1747288566047
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747288574946
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1747288576225
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747288579368
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747288579502
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747288587078
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1747288593802
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747288594026
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1747288596072
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747288596264
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747288599340
