what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747099855408
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1747099855416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1747099855416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747099859379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1747099912892
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1747099922669
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1747099923938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747099928772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747101278963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747101283144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747101288681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747101308904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747101309207
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747101309777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747101309855
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747101309872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747101309959
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1747101310259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102919333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102920961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102923041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1747102923478
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1747102923798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102924146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102927144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1747102928016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102928434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102931727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1747102932685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102933199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102934630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1747102934930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102935321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102950417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1747102951299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102951892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102954909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1747102956542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102957951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102958597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102959206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102964595
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1747102964670
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1747102964674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102970242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102973568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102975541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102976260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747102994275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747103133484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1747103134596
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1747103135920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747103136189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747103137254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747103142569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747103932743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747103935425
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1747103946689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747103946909
