what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110046346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110046473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110049696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110053665
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1747110053675
error,log,,,"An internal error occurred during: ""Launching uarttest Nios II Hardware configuration"".",1747110054865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110054880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1747110063515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110106112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110108521
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747110110131
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747110110181
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1747110110190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110110250
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1747110110258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1747110110258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110112076
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747110113452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110113609
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1747110113620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1747110113620
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1747110117141
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1747110117215
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1747110117215
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1747110117215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110117635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110142594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110151081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110157788
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747110158406
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1747110158464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110158549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110166184
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1747110167095
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1747110167383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110169463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110173713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1747110173737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1747110181599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1747110198495
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1747110200310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110202766
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1747110210008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747110210025
